column	line	word	detail	context
page-035-L	52	αἰτίατέον	two accents outside the enclitic pattern	αἰτίατέον τὴν τῶν ἀεὶ κινȣμένων δύναμιν μα2. 339a32.
page-060-L	46	ἄνθρώπȣ	two accents outside the enclitic pattern	Ζμα4. 644 b11). dist ὅμοιον: τῷ τȣ͂ ἄνθρώπȣ στήθει ἀνά-
page-076-L	20	ἕτέρῳ	two accents outside the enclitic pattern	β4. 415a10. — 2. ἀντικεῖσθαι ἑτερον ἕτέρῳ λέγεται τετρα-
page-081-L	36	ἐνόπτρȣ͂	two accents outside the enclitic pattern	λος). ἀνωμαλία τῶν νεφῶν, τȣ͂ ἐνόπτρȣ͂ μβ9. 369b1. γ6.
