column	line	word	detail	context
page-109-L	16	εἶρηται	circumflex 2 syllables from the end	b2. εἶρηται ἐν ἑτέροις σαφέστερον (δι’ ἀκριβείας) αν7. 473
page-109-L	23	εἶρηται	circumflex 2 syllables from the end	περ) εἶρηται πρότερον ἐν ἑτέροις Γβ10. 337a18. Ζμβ1. 647
page-109-L	40	εἶρηται	circumflex 2 syllables from the end	(ὥσπερ) εἶρηται πρότερο αι7. 449a9. αν3. 474b14. Ζμδ5.
page-112-R	55	εἶρηται	circumflex 2 syllables from the end	Heitz p 115). λ1. 954a20 εἶρηται σαφέστερον ἐν τοῖς περὶ
page-117-R	6	ᾧκησαν	circumflex 2 syllables from the end	f 594. 1574b30. βάρβαροι τὴν Ἀρκαδίαν ᾧκησαν f 549.
