column	line	citation	token	page	why
page-032-L	5	β12. 424 a	β	424	reads as book β of εν (the work last named), but 424 is outside εν (458-462)
page-032-R	20	γ3. 665 a	γ	665	reads as book γ of υ (the work last named), but 665 is outside υ (453-458)
page-032-R	28	η5. 1147 a	η	1147	reads as book η of Φ (the work last named), but 1147 is outside Φ (184-267)
page-032-R	28	ζ9. 1142a	ζ	1142	reads as book ζ of Φ (the work last named), but 1142 is outside Φ (184-267)
page-032-R	41	β4. 999 b	β	999	reads as book β of τβ (the work last named), but 999 is outside τβ (100-164)
page-032-R	41	γ5. 1009 b	γ	1009	reads as book γ of τβ (the work last named), but 1009 is outside τβ (100-164)
page-032-R	51	Ζυ6. 700 b	Ζυ	700	'Ζυ' is not one of Bonitz's sigla
page-033-L	3	γ11. 1281 b	γ	1281	reads as book γ of Η (the work last named), but 1281 is outside Η (1094-1181)
page-033-R	29	μυ1. 450 a	μυ	450	reads as book μυ of ψ (the work last named), but 450 is outside ψ (402-435)
page-034-R	41	β2. 996b	β	996	reads as book β of Φ (the work last named), but 996 is outside Φ (184-267)
page-035-L	3	δ3. 767b	δ	767	reads as book δ of Μ (the work last named), but 767 is outside Μ (980-1093)
page-035-L	4	δ8. 776a	δ	776	reads as book δ of Μ (the work last named), but 776 is outside Μ (980-1093)
page-035-L	22	Οβ13. 259a	Οβ	259	Ο is περὶ Οὐρανȣ̃ at 268-313, and the page beside it is 259
page-035-L	48	A4. 985a	A	985	'A' is not one of Bonitz's sigla
page-035-R	18	β1. 283 b	β	283	reads as book β of Φ (the work last named), but 283 is outside Φ (184-267)
page-035-R	35	δ6. 531 a	δ	531	reads as book δ of Ζμ (the work last named), but 531 is outside Ζμ (639-697)
page-035-R	35	θ1. 588 b	θ	588	reads as book θ of Ζμ (the work last named), but 588 is outside Ζμ (639-697)
page-036-R	44	γ15. 676a	γ	676	reads as book γ of Ζι (the work last named), but 676 is outside Ζι (486-633)
page-036-R	44	δ10. 686b	δ	686	reads as book δ of Ζι (the work last named), but 686 is outside Ζι (486-633)
page-037-L	3	θ2. 590a	θ	590	reads as book θ of Ζγ (the work last named), but 590 is outside Ζγ (715-789)
page-037-L	15	γ5. 1010a	γ	1010	reads as book γ of Φ (the work last named), but 1010 is outside Φ (184-267)
page-037-R	4	ε14. 546a	ε	546	reads as book ε of Π (the work last named), but 546 is outside Π (1252-1342)
page-037-R	4	ι37. 621b	ι	621	reads as book ι of Π (the work last named), but 621 is outside Π (1252-1342)
page-038-L	36	γ2. 517a	γ	517	reads as book γ of Η (the work last named), but 517 is outside Η (1094-1181)
page-038-R	4	δ6. 1016 b	δ	1016	reads as book δ of Αα (the work last named), but 1016 is outside Αα (24-70)
page-038-R	52	Πγ7. 1408 b	Πγ	1408	Π is Πολιτικά at 1252-1342, and the page beside it is 1408
page-039-R	9	Ι4. 1166b	Ι	1166	'Ι' is not one of Bonitz's sigla
page-040-L	44	πο8. 1408 b	πο	1408	reads as book πο of Π (the work last named), but 1408 is outside Π (1252-1342)
