source	cite	column	line	tier	corpus_lines
page-030-R:46	ημβ13. 1212b6	1212b	6	no-corpus	
page-030-R:49	82. 1490a13	1490a	13	no-corpus	
page-031-L:2	γ2. 426 a33	426a	33	tail	1-31
page-031-L:18	ψγ1. 424 b28	424b	28	seam	
page-031-L:25	Φη2. 244 a28	244a	28	seam	
page-031-L:41	ζ3. 469 a22	469a	22	seam	
page-031-R:8	ημα35. 1196b25	1196b	25	no-corpus	
page-031-R:14	κ2. 1059a38	1059a	38	seam	
page-031-R:15	Μλ1. 1069a30	1069a	30	seam	
page-031-R:41	76. 1488b29	1488b	29	no-corpus	
page-031-R:51	Ηβ1. 1103a28	1103a	28	seam	
page-031-R:53	Φη2. 244b11	244b	11	seam	
page-032-L:23	Φη2. 244 b11	244b	11	seam	
page-032-L:45	ψγ1. 424 b22	424b	22	seam	
page-032-L:47	ψγ1. 424 b30	424b	30	seam	
page-032-L:54	39.1481 a13	1481a	13	no-corpus	
page-032-R:4	πζ5. 886 b32	886b	32	no-corpus	
page-032-R:19	ζ3. 469 a10	469a	10	seam	
page-032-R:21	ζ3. 469 a20	469a	20	seam	
page-032-R:27	Ηβ9.1109 b23	1109b	23	seam	
page-032-R:33	Ηκ1.1172 a36	1172a	36	seam	
page-032-R:34	πν4. 482 b19	482b	19	no-corpus	
page-032-R:52	πλ14. 959 b39	959b	39	no-corpus	
page-032-R:57	πιγ5. 908 a27	908a	27	no-corpus	
page-032-R:61	Ζμβ17. 661 a9	661a	9	seam	
page-033-L:6	πε17. 882 b19	882b	19	no-corpus	
page-033-L:10	Ζγδ1. 763 b28	763b	28	seam	
page-033-L:22	90. 1492 a30	1492a	30	no-corpus	
page-033-L:23	πγ27. 875 a31	875a	31	no-corpus	
page-033-L:26	πλα12. 958 b16	958b	16	no-corpus	
page-033-L:32	πο15. 1454 b17	1454b	17	seam	
page-033-L:60	3. 469 a12	469a	12	seam	
page-033-R:7	ζ3. 469 a19	469a	19	seam	
page-033-R:16	Φη3. 247 a6	247a	6	seam	
page-033-R:19	ψβ5. 417 b32	417b	32	tail	1-31
page-033-R:39	δ5. 678 b2	678b	2	seam	
page-033-R:52	πλε1. 964 b23	964b	23	no-corpus	
page-033-R:52	πγ8. 872 a12	872a	12	no-corpus	
page-033-R:62	481. 1557 a2	1557a	2	no-corpus	
page-034-L:2	πο5. 1449 a35	1449a	35	seam	
page-034-L:3	41. 1482 a12	1482a	12	no-corpus	
page-034-L:6	ημα25. 1192 a10	1192a	10	no-corpus	
page-034-L:16	ρ36. 1441 b20	1441b	20	no-corpus	
page-034-L:18	πο5. 1449 a34	1449a	34	seam	
page-034-L:20	πο4. 1449 a16	1449a	16	seam	
page-034-L:26	575. 1572 b26	1572b	26	no-corpus	
page-034-L:35	233. 1520 a10	1520a	10	no-corpus	
page-034-L:36	πλα3. 957 b10	957b	10	no-corpus	
page-034-L:36	λβ1. 960 a37	960a	37	no-corpus	
page-034-L:37	8. 961 a3	961a	3	no-corpus	
page-034-L:37	12. 961 a31	961a	31	no-corpus	
page-034-L:49	533. 1566 b30	1566b	30	no-corpus	
page-034-L:50	445. 1551 a30	1551a	30	no-corpus	
page-034-L:50	445. 1551 a28	1551a	28	no-corpus	
page-034-R:5	ρ20. 1433b17	1433b	17	no-corpus	
page-034-R:7	ρ7. 1428a8	1428a	8	no-corpus	
page-034-R:12	μτ1. 462b27	462b	27	seam	
page-034-R:18	Μγ1. 1003a31	1003a	31	seam	
page-034-R:21	Μγ1. 1003a27	1003a	27	seam	
page-034-R:25	μδ1. 378b10	378b	10	seam	
page-034-R:25	μτ1. 462b19	462b	19	seam	
page-035-L:2	Ζγβ1. 731b23	731b	23	seam	
page-035-L:36	385. 1542a23	1542a	23	no-corpus	
page-035-L:37	ρ30. 1437a9	1437a	9	no-corpus	
page-035-L:39	ρ30. 1437b23	1437b	23	no-corpus	
page-035-L:40	381. 1541b16	1541b	16	no-corpus	
page-035-L:53	ρ8. 1428b37	1428b	37	no-corpus	
page-035-L:59	ρ7. 1428a7	1428a	7	no-corpus	
page-035-R:8	64. 1486 b22	1486b	22	no-corpus	
page-035-R:8	433. 1549 b34	1549b	34	no-corpus	
page-035-R:10	465. 1554 b12	1554b	12	no-corpus	
page-035-R:18	β1. 283 b28	283b	28	seam	
page-035-R:22	40. 1481 a39	1481a	39	no-corpus	
page-035-R:24	7. 401 a16	401a	16	seam	
page-035-R:25	472. 1556 a2	1556a	2	no-corpus	
page-035-R:27	πε27. 883 b27	883b	27	no-corpus	
page-035-R:28	13. 941 b25	941b	25	no-corpus	
page-035-R:38	189. 1511 b29	1511b	29	no-corpus	
page-035-R:44	625. 1583 b12	1583b	12	no-corpus	
page-035-R:45	596. 1577 a40	1577a	40	no-corpus	
page-036-L:15	φτα5. 820a20	820a	20	no-corpus	
page-036-L:15	β6. 826b35	826b	35	no-corpus	
page-036-L:16	827a1	827a	1	no-corpus	
page-036-L:16	7. 827b5	827b	5	no-corpus	
page-036-L:23	293. 1529 a15	1529a	15	no-corpus	
page-036-L:39	253. 1524b39	1524b	39	no-corpus	
page-036-L:42	279. 1528a10	1528a	10	no-corpus	
page-036-L:48	πιβ8. 907a22	907a	22	no-corpus	
page-036-L:49	Ζμγ14. 674 b3	674b	3	seam	
page-036-R:12	433. 1549b32	1549b	32	no-corpus	
page-036-R:13	435. 1550a5	1550a	5	no-corpus	
page-036-R:15	πκ3. 923a13	923a	13	no-corpus	
page-036-R:18	κ6. 401a2	401a	2	seam	
page-036-R:21	1574b31	1574b	31	no-corpus	
page-036-R:25	πιθ42. 921b23	921b	23	no-corpus	
page-036-R:29	13. 941b29	941b	29	no-corpus	
page-036-R:30	πκη1. 949b3	949b	3	no-corpus	
page-036-R:31	γ14. 674b12	674b	12	seam	
page-036-R:44	γ15. 676a14	676a	14	seam	
page-036-R:49	ρ1. 1421a37	1421a	37	no-corpus	
page-037-L:4	294. 1529a34	1529a	34	no-corpus	
page-037-L:5	305. 1530a15	1530a	15	no-corpus	
page-037-L:8	8. 914b25	914b	25	no-corpus	
page-037-L:12	Μγ8. 1012b31	1012b	31	seam	
page-037-L:15	1. 1069a33	1069a	33	seam	
page-037-L:16	Φα2. 184b16	184b	16	seam	
page-037-L:42	Κ8. 10a4	10a	4	seam	
page-037-L:48	μα14. 353a4	353a	4	seam	
page-037-L:50	44. 945a20	945a	20	no-corpus	
page-037-L:61	259. 1525b27	1525b	27	no-corpus	
page-037-R:8	πα 17. 861a24	861a	24	no-corpus	
page-037-R:18	259. 1525b33	1525b	33	no-corpus	
page-037-R:29	39. 1481 a12	1481a	12	no-corpus	
page-037-R:38	Ζιι1. 608a19	608a	19	seam	
page-037-R:38	πζ5. 886b32	886b	32	no-corpus	
page-037-R:39	πια33. 903a22	903a	22	no-corpus	
page-037-R:40	πια1. 898b28	898b	28	no-corpus	
page-037-R:52	πλα29. 960 a30	960a	30	no-corpus	
page-037-R:53	πια44. 904a22	904a	22	no-corpus	
page-037-R:57	949 a24	949a	24	no-corpus	
page-037-R:58	950a19	950a	19	no-corpus	
page-037-R:61	Ηδ1. 1119b31	1119b	31	seam	
page-038-L:8	ημβ6. 1203a1	1203a	1	no-corpus	
page-038-L:9	ημβ6. 1203b30	1203b	30	no-corpus	
page-038-L:14	ρ26. 1435a39	1435a	39	no-corpus	
page-038-L:22	ημα34. 1194a39	1194a	39	no-corpus	
page-038-L:30	10. 778a1	778a	1	seam	
page-038-L:45	Ζμβ1. 646a18	646a	18	seam	
page-038-L:52	Ζγε1. 778a27	778a	27	seam	
page-038-R:4	ημβ6. 1203 b19	1203b	19	no-corpus	
page-038-R:5	11. 1209 a7	1209a	7	no-corpus	
page-038-R:13	13. 14 b28	14b	28	seam	
page-038-R:13	15 a6	15a	6	seam	
page-038-R:24	Πζ8. 1323 a6	1323a	6	seam	
page-038-R:26	Ζιι1. 608 a30	608a	30	seam	
page-038-R:28	ρ7. 1427 b40	1427b	40	no-corpus	
page-038-R:32	φτβ10. 829 b39	829b	39	no-corpus	
page-038-R:33	πζ5. 886 b10	886b	10	no-corpus	
page-038-R:34	πλε3. 964 b37	964b	37	no-corpus	
page-038-R:36	204. 1515 a27	1515a	27	no-corpus	
page-038-R:37	205. 1515 a33	1515a	33	no-corpus	
page-038-R:45	πε1. 880 b16	880b	16	no-corpus	
page-038-R:45	10. 881 b20	881b	20	no-corpus	
page-038-R:46	23. 883 a24	883a	24	no-corpus	
page-038-R:46	πε12. 882 a1	882a	1	no-corpus	
page-038-R:47	Ζικ1. 633 b20	633b	20	finding	1-8
page-038-R:48	πε7. 881 a37	881a	37	no-corpus	
page-038-R:49	πιδ2. 909 a19	909a	19	no-corpus	
page-038-R:55	16. 1477 a1	1477a	1	no-corpus	
page-038-R:60	πια41. 903 b34	903b	34	no-corpus	
page-038-R:60	48. 904 b11	904b	11	no-corpus	
page-038-R:61	44. 904 a16	904a	16	no-corpus	
page-039-L:19	πιθ 27. 919 b26	919b	26	no-corpus	
page-039-L:23	Ηγ1. 1109 b35	1109b	35	seam	
page-039-L:24	Ρα15. 1377 b5	1377b	5	seam	
page-039-L:28	417. 1547 b28	1547b	28	no-corpus	
page-039-L:36	Ηα13. 1103 a3	1103a	3	seam	
page-039-L:45	πγ17. 873 b11	873b	11	no-corpus	
page-039-L:46	949 a24	949a	24	no-corpus	
page-039-L:46	950 a19	950a	19	no-corpus	
page-039-L:49	πκη3. 949 b15	949b	15	no-corpus	
page-039-L:51	Ηη1. 1145 a16	1145a	16	seam	
page-039-L:55	ημβ6. 1202 a19	1202a	19	no-corpus	
page-039-L:56	ημβ6. 1202 b33	1202b	33	no-corpus	
page-039-L:56	Ηη1. 1145 a35	1145a	35	seam	
page-039-L:58	ημβ6. 1202 a33	1202a	33	no-corpus	
page-039-L:58	πκη3. 949 b14	949b	14	no-corpus	
page-039-L:60	ημβ6. 1203 a30	1203a	30	no-corpus	
page-039-R:10	πκη2. 949b6	949b	6	no-corpus	
page-039-R:10	7. 949b38	949b	38	no-corpus	
page-039-R:12	ημβ6. 1203b30	1203b	30	no-corpus	
page-039-R:15	ημβ6. 1203a1	1203a	1	no-corpus	
page-039-R:16	ημβ6. 1202b36	1202b	36	no-corpus	
page-039-R:21	ημβ6. 1202a32	1202a	32	no-corpus	
page-039-R:21	πκη3. 949b13	949b	13	no-corpus	
page-039-R:28	πγ5. 871a28	871a	28	no-corpus	
page-039-R:28	26. 874b23	874b	23	no-corpus	
page-039-R:30	πκα20. 929 a36	929a	36	no-corpus	
page-039-R:33	πγ3. 871a16	871a	16	no-corpus	
page-039-R:33	14. 873a4	873a	4	no-corpus	
page-039-R:33	πγ22. 874a28	874a	28	no-corpus	
page-039-R:41	πιθ38. 921a4	921a	4	no-corpus	
page-039-R:42	φτβ10. 829b8	829b	8	no-corpus	
page-039-R:45	257. 1525a26	1525a	26	no-corpus	
page-039-R:55	Πβ12. 1274b7	1274b	7	seam	
page-040-L:13	πκθ13. 951 b35	951b	35	no-corpus	
page-040-L:34	Μα3. 995 a10	995a	10	seam	
page-040-L:39	ρ23. 1434 b30	1434b	30	no-corpus	
page-040-L:56	Μα3. 995 a15	995a	15	seam	
page-040-R:1	Ζγδ9. 778a6	778a	6	seam	
page-040-R:4	πγ31. 875 b28	875b	28	no-corpus	
page-040-R:18	Ζικ6. 637b18	637b	18	no-corpus	
page-040-R:21	Ζικ6. 637b16	637b	16	no-corpus	
page-040-R:44	612. 1581a41	1581a	41	no-corpus	
page-040-R:48	πκβ8. 930b26	930b	26	no-corpus	
page-040-R:50	254. 1525a3	1525a	3	no-corpus	
page-040-R:51	πγ2. 871a9	871a	9	no-corpus	
page-040-R:52	27. 875a29	875a	29	no-corpus	
page-040-R:53	πκγ40. 935b38	935b	38	no-corpus	
page-040-R:54	18. 942a23	942a	23	no-corpus	
page-040-R:56	ρ9. 1429b21	1429b	21	no-corpus	
page-040-R:57	374. 1540b3	1540b	3	no-corpus	
page-040-R:57	402. 1545a31	1545a	31	no-corpus	
page-040-R:60	ρ1. 1421a1	1421a	1	no-corpus	
page-041-L:17	φτβ1. 822 b17	822b	17	no-corpus	
page-041-R:4	Μγ1. 1003a26	1003a	26	seam	
page-041-R:8	Πδ1. 1288b35	1288b	35	seam	
page-041-R:10	Ζκ7. 638b6	638b	6	no-corpus	
page-041-R:16	φτβ9. 829a10	829a	10	no-corpus	
page-041-R:17	φτα3. 818a36	818a	36	no-corpus	
page-041-R:35	πη5. 887b26	887b	26	no-corpus	
page-041-R:54	πιε13. 913a10	913a	10	no-corpus	
page-041-R:55	πια33. 903a15	903a	15	no-corpus	
page-041-R:56	596. 1576a33	1576a	33	no-corpus	
page-041-R:59	πκγ4. 931b31	931b	31	no-corpus	
page-042-L:1	426. 1548 b33	1548b	33	no-corpus	
page-042-L:2	ρ37. 1443 b28	1443b	28	no-corpus	
page-042-L:6	Ζγδ9. 778 a1	778a	1	seam	
page-042-L:11	59. 1485 b14	1485b	14	no-corpus	
page-042-L:13	ημα33.1193 a28	1193a	28	no-corpus	
page-042-L:19	ημα33. 1193 a29	1193a	29	no-corpus	
page-042-L:24	φτβ2. 824 a37	824a	37	no-corpus	
page-042-L:25	πλ1. 953 a24	953a	24	no-corpus	
page-042-L:29	πκζ9. 948 b21	948b	21	no-corpus	
page-042-L:32	πθ8. 890 a37	890a	37	no-corpus	
page-042-L:39	πα9. 860 a14	860a	14	no-corpus	
page-042-L:43	πβ30. 869 a32	869a	32	no-corpus	
page-042-L:43	πε40. 885 a19	885a	19	no-corpus	
page-042-L:45	πκγ9. 932 b19	932b	19	no-corpus	
page-042-L:45	κε16. 939 b9	939b	9	no-corpus	
page-042-L:46	πα20. 861 b24	861b	24	no-corpus	
page-042-L:46	β30. 869 a38	869a	38	no-corpus	
page-042-L:50	πα39. 863 b22	863b	22	no-corpus	
page-042-L:50	ε38. 884 b39	884b	39	no-corpus	
page-042-L:51	3. 885 b27	885b	27	no-corpus	
page-042-L:53	πλ1. 953 a25	953a	25	no-corpus	
page-042-L:57	πιδ13. 910 a6	910a	6	no-corpus	
page-042-L:59	πκγ9. 932 b20	932b	20	no-corpus	
page-042-L:59	κε21. 939 b33	939b	33	no-corpus	
page-042-R:1	941a33	941a	33	no-corpus	
page-042-R:2	πκε19. 939b24	939b	24	no-corpus	
page-042-R:4	Ζμγ14. 674b28	674b	28	seam	
page-042-R:5	πα39. 863b20	863b	20	no-corpus	
page-042-R:5	ε38. 884b37	884b	37	no-corpus	
page-042-R:6	πλε3. 964b38	964b	38	no-corpus	
page-042-R:7	πζ5. 886b11	886b	11	no-corpus	
page-042-R:12	πλβ11. 961a28	961a	28	no-corpus	
page-042-R:15	πλη3. 966b39	966b	39	no-corpus	
page-042-R:20	Ζιζ1. 558b16	558b	16	seam	
page-042-R:23	Ζιζ1. 558b27	558b	27	seam	
page-042-R:25	ζ1. 558b13	558b	13	seam	
page-042-R:27	Ζικ6. 637b7	637b	7	no-corpus	
page-042-R:28	πι35. 894b17	894b	17	no-corpus	
page-042-R:36	270. 1527a3	1527a	3	no-corpus	
page-042-R:36	274. 1527b11	1527b	11	no-corpus	
page-042-R:55	509a20	509a	20	seam	
page-043-L:10	271. 1527a17	1527a	17	no-corpus	
page-043-L:12	61. 1485b41	1485b	41	no-corpus	
page-043-L:12	1486a11	1486a	11	no-corpus	
page-043-L:15	142. 1502a36	1502a	36	no-corpus	
page-043-L:15	151. 1503b29	1503b	29	no-corpus	
page-043-L:22	602. 1579a19	1579a	19	no-corpus	
page-043-L:22	612. 1581a40	1581a	40	no-corpus	
page-043-L:23	571. 1572a7	1572a	7	no-corpus	
page-043-L:24	595. 1575a16	1575a	16	no-corpus	
page-043-L:27	456. 1552b43	1552b	43	no-corpus	
page-043-L:27	455. 1552b36	1552b	36	no-corpus	
page-043-L:30	πι27. 893b31	893b	31	no-corpus	
page-043-L:31	πκα1. 927a11	927a	11	no-corpus	
page-043-L:32	πα37. 863b2	863b	2	no-corpus	
page-043-L:32	κα3. 927a23	927a	23	no-corpus	
page-043-L:32	7. 927b15	927b	15	no-corpus	
page-043-L:33	22. 929b8	929b	8	no-corpus	
page-043-L:33	26. 930a3	930a	3	no-corpus	
page-043-L:50	Μα1. 993a30	993a	30	seam	
page-043-R:4	ημα34. 1196 b2	1196b	2	no-corpus	
page-043-R:15	82. 1490 a14	1490a	14	no-corpus	
page-043-R:15	ρ15. 1431 b4	1431b	4	no-corpus	
page-043-R:24	ε2. 16 b3	16b	3	seam	
page-043-R:34	12. 21 b17	21b	17	seam	
page-043-R:38	ζ1. 139 a27	139a	27	seam	
page-043-R:61	Ρβ14. 1390 a34	1390a	34	tail	1-33
page-044-L:14	Ηζ1. 1138b26	1138b	26	seam	
page-044-L:21	ε7. 17b30	17b	30	seam	
page-044-L:21	9. 18 b10	18b	10	seam	
page-044-L:22	11. 21a18	21a	18	seam	
page-044-L:23	11. 21a12	21a	12	seam	
page-044-L:24	τζ1. 139a25	139a	25	seam	
page-044-L:24	Οα12. 283b6	283b	6	seam	
page-044-L:33	ημα33. 1193a33	1193a	33	no-corpus	
page-044-L:39	δ1. 1288b27	1288b	27	seam	
page-044-L:39	η1. 1323 a24	1323a	24	seam	
page-044-L:58	πλ1. 953a24	953a	24	no-corpus	
page-044-L:60	472. 1556a3	1556a	3	no-corpus	
page-044-L:60	6, 1555b41	1555b	41	no-corpus	
page-044-R:1	554. 1569 b35	1569b	35	no-corpus	
page-044-R:2	554. 1569 b36	1569b	36	no-corpus	
page-044-R:18	πκθ2. 950 b1	950b	1	no-corpus	
page-044-R:19	510. 1561 b24	1561b	24	no-corpus	
page-044-R:20	πλη2. 966 b25	966b	25	no-corpus	
page-044-R:26	πκδ9. 936 b32	936b	32	no-corpus	
page-044-R:26	β28. 869 a17	869a	17	no-corpus	
page-044-R:27	πκα5. 927 a36	927a	36	no-corpus	
page-044-R:32	515. 1562 a27	1562a	27	no-corpus	
page-044-R:40	518. 1562 b36	1562b	36	no-corpus	
page-044-R:42	πλ1. 954 a35	954a	35	no-corpus	
page-044-R:43	πγ1. 871 a3	871a	3	no-corpus	
page-044-R:43	6. 871 b33	871b	33	no-corpus	
page-044-R:43	103. 1494 b28	1494b	28	no-corpus	
page-044-R:44	πζ8. 887 a23	887a	23	no-corpus	
page-044-R:45	ρ37. 1444 a32	1444a	32	no-corpus	
page-044-R:46	451. 1545 a13	1545a	13	no-corpus	
page-044-R:48	65. 1486 b34	1486b	34	no-corpus	
page-044-R:50	579. 1573 a24	1573a	24	no-corpus	
page-044-R:52	Ζιδ11. 538 b15	538b	15	seam	
page-044-R:59	403. 1545 a35	1545a	35	no-corpus	
page-044-R:61	Αδ13. 97 b18	97b	18	seam	
page-045-L:3	9, 18 b11	18b	11	seam	
page-045-L:7	516. 1562 b5	1562b	5	no-corpus	
page-045-L:10	463. 1554 a33	1554a	33	no-corpus	
page-045-L:12	584. 1573 a12	1573a	12	no-corpus	
page-045-L:15	Ζιη1. 581 a16	581a	16	seam	
page-045-L:18	πιζ3. 916 a34	916a	34	no-corpus	
page-045-L:21	Ζιη1. 581 a16	581a	16	seam	
page-045-L:22	357. 1538 b17	1538b	17	no-corpus	
page-045-L:55	ρ1. 1421 a4	1421a	4	no-corpus	
page-045-L:56	φτβ9. 828 b15	828b	15	no-corpus	
page-045-L:60	Ζιβ1. 497 b35	497b	35	seam	
page-045-R:7	φτβ3. 825 a15	825a	15	no-corpus	
page-045-R:38	ημβ8. 1207 b14	1207b	14	no-corpus	
page-045-R:39	πν8. 485 a22	485a	22	no-corpus	
page-045-R:51	πκε22. 940 a15	940a	15	no-corpus	
page-045-R:52	381. 1541 b23	1541b	23	no-corpus	
page-045-R:53	φτα4. 820 a5	820a	5	no-corpus	
page-045-R:60	πε8. 881 b5	881b	5	no-corpus	
page-046-L:1	268. 1526 b34	1526b	34	no-corpus	
page-046-L:3	299. 1529 a15	1529a	15	no-corpus	
page-046-L:15	ρ24. 1434 b39	1434b	39	no-corpus	
page-046-L:15	26. 1435 b17	1435b	17	no-corpus	
page-046-L:20	πια58. 905 a40	905a	40	no-corpus	
page-046-L:26	170. 1506 b2	1506b	2	no-corpus	
page-046-L:28	Κ14. 15 a31	15a	31	seam	
page-046-L:29	δ5. 678 b18	678b	18	seam	
page-046-L:36	150. 1503 b12	1503b	12	no-corpus	
page-046-L:39	Φη3. 245 b3	245b	3	seam	
page-046-L:46	Φη2. 244 b7	244b	7	seam	
page-046-L:49	Φη3. 245 b13	245b	13	seam	
page-046-L:51	Φη2. 245 a4	245a	4	seam	
page-046-L:58	η2. 243 a9	243a	9	seam	
page-046-R:2	Φη3. 245 b4	245b	4	seam	
page-046-R:5	Κ14. 15 a13	15a	13	seam	
page-046-R:6	η2. 243 a9	243a	9	seam	
page-046-R:13	Φη3. 247 a19	247a	19	seam	
page-046-R:14	Φη3. 246 a2	246a	2	seam	
page-046-R:14	245 b13	245b	13	seam	
page-046-R:14	4. 248 a13	248a	13	seam	
page-046-R:26	Φη3. 246 a3	246a	3	seam	
page-046-R:26	15, 247 a5	247a	5	seam	
page-046-R:44	ημβ15. 1213 a13	1213a	13	no-corpus	
page-047-L:8	Κ8. 10 a18	10a	18	seam	
page-047-L:10	ηεα 8. 1218 b23	1218b	23	seam	
page-047-L:16	12. 14 b8	14b	8	seam	
page-047-L:18	ρ37. 1445 a21	1445a	21	no-corpus	
page-047-L:20	πκδ17. 937 b19	937b	19	no-corpus	
page-047-L:21	φτα3. 818 a23	818a	23	no-corpus	
page-047-L:24	πδ29. 880 a25	880a	25	no-corpus	
page-047-L:29	Ζμδ1. 676 a34	676a	34	seam	
page-047-L:30	πκγ20. 933 b24	933b	24	no-corpus	
page-047-L:35	πλβ4. 960 b19	960b	19	no-corpus	
page-047-L:36	πκγ8. 932 b9	932b	9	no-corpus	
page-047-L:36	22. 934 a9	934a	9	no-corpus	
page-047-L:39	99. 1494 a9	1494a	9	no-corpus	
page-047-L:40	πκδ16. 937 b9	937b	9	no-corpus	
page-047-L:42	φτβ2. 824 a4	824a	4	no-corpus	
page-047-L:44	μτ1. 462 b21	462b	21	seam	
page-047-L:59	1103 a10	1103a	10	seam	
page-047-R:1	ημα35. 1198a17	1198a	17	no-corpus	
page-047-R:1	πλ1. 954b35	954b	35	no-corpus	
page-047-R:18	πν2. 481b27	481b	27	no-corpus	
page-047-R:46	πκγ22. 934 a1	934a	1	no-corpus	
page-047-R:50	210. 1516a24	1516a	24	no-corpus	
page-047-R:51	588. 1574a1	1574a	1	no-corpus	
page-047-R:53	πα38. 863b11	863b	11	no-corpus	
page-047-R:54	ζ9. 887b1	887b	1	no-corpus	
page-047-R:54	πια26. 902a1	902a	1	no-corpus	
page-047-R:55	42. 904a5	904a	5	no-corpus	
page-047-R:56	πκγ32. 935a8	935a	8	no-corpus	
page-047-R:56	15. 933a20	933a	20	no-corpus	
page-047-R:61	πια26. 902a1	902a	1	no-corpus	
page-047-R:61	42. 904a5	904a	5	no-corpus	
page-048-L:2	πκγ32. 935a8	935a	8	no-corpus	
page-048-L:14	πε8. 881b5	881b	5	no-corpus	
page-048-L:16	507. 1561a28	1561a	28	no-corpus	
page-048-L:17	πκ1. 923a6	923a	6	no-corpus	
page-048-L:17	γ8. 872 a9	872a	9	no-corpus	
page-048-L:18	19. 873b37	873b	37	no-corpus	
page-048-L:18	πκγ 7. 932b1	932b	1	no-corpus	
page-048-L:20	πκγ25. 934a30	934a	30	no-corpus	
page-048-L:20	πε37. 884b29	884b	29	no-corpus	
page-048-L:21	φτβ2. 823b24	823b	24	no-corpus	
page-048-L:22	209. 1516a15	1516a	15	no-corpus	
page-048-L:22	φτβ2. 823b17	823b	17	no-corpus	
page-048-L:22	3. 824b5	824b	5	no-corpus	
page-048-L:34	ημβ7. 1204a24	1204a	24	no-corpus	
page-048-L:35	Οβ13. 294a12	294a	12	seam	
page-048-L:35	40. 1481 b11	1481b	11	no-corpus	
page-048-L:36	πι22. 893a20	893a	20	no-corpus	
page-048-L:39	ημβ7. 1204a24	1204a	24	no-corpus	
page-048-L:45	Ηθ16. 1163b27	1163b	27	seam	
page-048-L:45	ρ37. 1443b34	1443b	34	no-corpus	
page-048-L:46	ρ3. 1424a19	1424a	19	no-corpus	
page-048-L:53	Μμ10. 1087a8	1087a	8	seam	
page-048-L:55	555. 1569b43	1569b	43	no-corpus	
page-048-L:55	554. 1569b36	1569b	36	no-corpus	
page-048-L:58	290. 1528b29	1528b	29	no-corpus	
page-048-L:61	πκα26. 929b37	929b	37	no-corpus	
page-048-R:1	πκα16. 929 a11	929a	11	no-corpus	
page-048-R:2	πκα3. 927 a23	927a	23	no-corpus	
page-048-R:2	7. 927 b15	927b	15	no-corpus	
page-048-R:2	22. 929 b9	929b	9	no-corpus	
page-048-R:3	26. 930 a3	930a	3	no-corpus	
page-048-R:3	α37. 863 b2	863b	2	no-corpus	
page-048-R:5	411. 1546 b13	1546b	13	no-corpus	
page-048-R:7	238. 1521 b7	1521b	7	no-corpus	
page-048-R:8	πι27. 893 b38	893b	38	no-corpus	
page-048-R:10	293. 1529 a15	1529a	15	no-corpus	
page-048-R:25	275. 1527 b23	1527b	23	no-corpus	
page-048-R:54	η2. 243 a4	243a	4	seam	
page-048-R:56	Κ13. 14 b25	14b	25	seam	
page-048-R:57	Κ13. 14 b27	14b	27	seam	
page-048-R:57	34, 15 a8	15a	8	seam	
page-049-L:8	Ηθ16. 1163 b22	1163b	22	seam	
page-049-L:20	ρ30. 1437 b5	1437b	5	no-corpus	
page-049-L:22	ρ5. 1427 a41	1427a	41	no-corpus	
page-049-L:24	Πε1. 1301 a28	1301a	28	seam	
page-049-L:26	617. 1528 a19	1528a	19	no-corpus	
page-049-L:32	ρ37. 1444 a10	1444a	10	no-corpus	
page-049-L:42	ε1. 1301 a34	1301a	34	seam	
page-049-L:50	πο5. 1449 a34	1449a	34	seam	
page-049-L:51	Ηε10. 1835 b12	1835b	12	no-corpus	
page-049-L:56	πιθ43. 922 a18	922a	18	no-corpus	
page-049-L:59	ημα17. 1189 b22	1189b	22	no-corpus	
page-049-R:2	ρ5. 1427a34	1427a	34	no-corpus	
page-049-R:2	ημβ6. 1202a26	1202a	26	no-corpus	
page-049-R:17	Ζιι1. 608a11	608a	11	seam	
page-049-R:20	18. 942a24	942a	24	no-corpus	
page-049-R:21	πδ25. 879a34	879a	34	no-corpus	
page-049-R:38	πζ5. 886 b32	886b	32	no-corpus	
page-049-R:39	πλα8. 958 b1	958b	1	no-corpus	
page-049-R:43	546. 1568 b22	1568b	22	no-corpus	
page-049-R:51	437. 1550a22	1550a	22	no-corpus	
page-049-R:52	437. 1550a23	1550a	23	no-corpus	
page-049-R:60	578. 1573a12	1573a	12	no-corpus	
page-049-R:61	Ζιγ21. 523a7	523a	7	seam	
page-050-L:1	891 b4	891b	4	no-corpus	
page-050-L:2	Ζιγ21. 523 a5	523a	5	seam	
page-050-L:4	208. 1515 b40	1515b	40	no-corpus	
page-050-L:9	ρ4. 1426 a12	1426a	12	no-corpus	
page-050-L:9	Πε12. 1316 b13	1316b	13	seam	
page-050-L:10	ρ3. 1425 b20	1425b	20	no-corpus	
page-050-L:13	πια6. 899 a30	899a	30	no-corpus	
page-050-L:18	1. 231 a28	231a	28	seam	
page-050-L:46	ημβ6. 1201 b6	1201b	6	no-corpus	
page-050-L:49	ημβ11. 1209 b13	1209b	13	no-corpus	
page-050-R:7	291. 1528b37	1528b	37	no-corpus	
page-050-R:7	313. 1531a27	1531a	27	no-corpus	
page-050-R:16	ημβ7. 1204a38	1204a	38	no-corpus	
page-050-R:17	πιβ4. 907a1	907a	1	no-corpus	
page-050-R:26	πιθ43. 922a4	922a	4	no-corpus	
page-050-R:27	πκθ10. 951a6	951a	6	no-corpus	
