column	line	word	detail	context
page-021-L	57	τὰδική	grave as one of two accents	τινὰ εἰς ἀτιμίαν, εἰς κέρδος Πε8. 1308 a9). ἀδικεῖν τὰδική-
page-027-L	23	ȣ́ρητιῶντες	two accents outside the enclitic pattern	σίαν πλ1. 953 b37. οἱ ἀφροδισιάζοντες ϗ ȣ́ρητιῶντες ἐντείνȣσιν,
page-032-L	26	ȣ̀δὲν	grave as one of two accents	αἰσθητȣ̃ γίνεσθαι τὴν αἴσθησιν αι3. 440 a19. ȣ̀δὲν ἁπτόμενον
page-032-L	55	ȣ̀δὲ	grave as one of two accents	a13, 15. ȣ̀κ ἔστιν ȣ̀δὲ τοῖς ἄλλοις ζώοις κατὰ ταύτας τὰς
page-033-L	54	δίμερῆ	two accents outside the enclitic pattern	b26 sqq. Ζια15. 494 b11-18. αι5. 445 a25. αἰσθητήρια δίμερῆ,
page-036-L	48	ῥόδόν	two accents outside the enclitic pattern	ἀκανθώδης. ἀκανθῶδες φύσει τὸ ῥόδόν ἐστί πιβ8. 907a22.
page-056-R	20	νοτέρὰ	grave as one of two accents	οἷον πῦρ μα3. 340 b27, 29). νοτέρὰ ϗ̀ ἀτμώδης ἀναθυμίασις
