column	line	word	detail	context
page-018-R	56	δῆμȣ	§166 circumflex on penult with long ultima	ραῖον (δῆμȣ εἶδος) τὸ περὶ ὠνὴν ϗ πρᾶσιν διατρῖβον Πδ4.
page-025-R	35	ἐπιτάφιȣν	§166 acute on antepenult with long ultima	ἐπιτάφιȣν ἐπὶ Αἴαντος τȣ Τελαμωνίȣ f596. 1575 b10. Αἴας
page-026-R	43	ἀιδιώτερȣν	§166 acute on antepenult with long ultima	Ζμα1. 640 a6. — τὸ τοιȣ͂τον ἐπίπονον, ὅσωπερ ἂν ἀιδιώτερȣν
page-027-L	23	ȣ́ρητιῶντες	§163 accent before the antepenult	σίαν πλ1. 953 b37. οἱ ἀφροδισιάζοντες ϗ ȣ́ρητιῶντες ἐντείνȣσιν,
page-033-R	18	ἀπεπιστῆμȣν	§166 circumflex on penult with long ultima	χῶς (τὸ μὲν ὡς ἀπεπιστῆμȣν, τὸ δ' ὡς ἐπιστήμην ἔχον
